TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΑΝΤΕΠΕΙΣΟΔΟΣ,ἀντεπείσοδος,,ἀντεπείσοδος,entrance in return,entrance in return,entrance in return,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπείσοδος
ΑΝΤΕΠΕΙΣΦΕΡΟΜΑΙ,ἀντεπεισφέρομαι,,ἀντεπεισφέρομαι,come in instead,come in instead,come in instead,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπεισφέρομαι
ΑΝΤΕΠΕΚΤΑΣΙΣ,ἀντεπέκτασις,,ἀντεπέκτασις,stretching in the opposite direction,stretching in the opposite direction,stretching in the opposite direction,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπέκτασις
ΑΝΤΕΠΕΚΤΕΙΝΩ,ἀντεπεκτείνω,,ἀντεπεκτείνω,stretch in the contrary direction,stretch in the contrary direction,stretch in the contrary direction,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπεκτείνω
ΑΝΤΕΠΕΛΑΥΝΩ,ἀντεπελαύνω,,ἀντεπελαύνω,"rush to meet, attack one","rush to meet, attack one","rush to meet, attack one",,,,,,http://logeion.uchicago.edu/index.html#ἀντεπελαύνω
ΑΝΤΕΠΕΞΑΓΩ,ἀντεπεξάγω,,ἀντεπεξάγω,to go out against,to go out against,to go out against,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπεξάγω
ΑΝΤΕΠΕΞΕΙΜΙ,ἀντεπέξειμι,,ἀντεπέξειμι,march out to meet an enemy,march out to meet an enemy,march out to meet an enemy,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπέξειμι
ΑΝΤΕΠΕΞΕΛΑΥΝΩ,ἀντεπεξελαύνω,,ἀντεπεξελαύνω,to march out,to march out,to march out,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπεξελαύνω
ΑΝΤΕΠΕΞΟΔΟΣ,ἀντεπέξοδος,,ἀντεπέξοδος,sally in turn,sally in turn,sally in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπέξοδος
ΑΝΤΕΠΕΡΕΙΔΟΜΑΙ,ἀντεπερείδομαι,,ἀντεπερείδομαι,obnitor,obnitor,obnitor,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπερείδομαι
ΑΝΤΕΠΕΡΧΟΜΑΙ,ἀντεπέρχομαι,,ἀντεπέρχομαι,march against in return,march against in return,march against in return,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπέρχομαι
ΑΝΤΕΠΕΡΩΤΑΩ,ἀντεπερωτάω,,ἀντεπερωτάω,restipulor,restipulor,restipulor,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπερωτάω
ΑΝΤΕΠΕΡΩΤΗΣΙΣ,ἀντεπερώτησις,,ἀντεπερώτησις,restipulatio,restipulatio,restipulatio,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπερώτησις
ΑΝΤΕΠΗΧΕΩ,ἀντεπηχέω,,ἀντεπηχέω,to clamour against,to clamour against,to clamour against,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπηχέω
ΑΝΤΕΠΙΒΟΥΛΕΥΩ,ἀντεπιβουλεύω,,ἀντεπιβουλεύω,to form counter-designs,to form counter-designs,to form counter-designs,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιβουλεύω
ΑΝΤΕΠΙΓΡΑΦΩ,ἀντεπιγράφω,,ἀντεπιγράφω,to write,to write,to write,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιγράφω
ΑΝΤΕΠΙΔΕΙΚΝΥΜΙ,ἀντεπιδείκνυμι,,ἀντεπιδείκνυμι,to exhibit in turn,to exhibit in turn,to exhibit in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιδείκνυμι
ΑΝΤΕΠΙΘΕΣΙΣ,ἀντεπίθεσις,,ἀντεπίθεσις,"mutual attack, contention","mutual attack, contention","mutual attack, contention",,,,,,http://logeion.uchicago.edu/index.html#ἀντεπίθεσις
ΑΝΤΕΠΙΘΥΜΕΩ,ἀντεπιθυμέω,,ἀντεπιθυμέω,to desire,to desire,to desire,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιθυμέω
ΑΝΤΕΠΙΘΥΩ,ἀντεπιθύω,,ἀντεπιθύω,offer sacrifice as substitute,offer sacrifice as substitute,offer sacrifice as substitute,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιθύω
ΑΝΤΕΠΙΚΑΛΕΩ,ἀντεπικαλέω,,ἀντεπικαλέω,accuse in return,accuse in return,accuse in return,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπικαλέω
ΑΝΤΕΠΙΚΕΙΜΑΙ,ἀντεπίκειμαι,,ἀντεπίκειμαι,to be placed upon,to be placed upon,to be placed upon,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπίκειμαι
ΑΝΤΕΠΙΚΗΡΥΣΣΩ,ἀντεπικηρύσσω,,ἀντεπικηρύσσω,put a price on,put a price on,put a price on,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπικηρύσσω
ΑΝΤΕΠΙΚΟΥΡΕΩ,ἀντεπικουρέω,,ἀντεπικουρέω,to help in return,to help in return,to help in return,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπικουρέω
ΑΝΤΕΠΙΚΡΑΤΕΙΑ,ἀντεπικράτεια,,ἀντεπικράτεια,alternate mastery,alternate mastery,alternate mastery,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπικράτεια
ΑΝΤΕΠΙΚΡΑΤΕΩ,ἀντεπικρατέω,,ἀντεπικρατέω,get the upper hand in turn,get the upper hand in turn,get the upper hand in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπικρατέω
ΑΝΤΕΠΙΛΑΜΒΑΝΟΜΑΙ,ἀντεπιλαμβάνομαι,,ἀντεπιλαμβάνομαι,lay hold on the other side,lay hold on the other side,lay hold on the other side,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιλαμβάνομαι
ΑΝΤΕΠΙΜΕΛΕΟΜΑΙ,ἀντεπιμελέομαι,,ἀντεπιμελέομαι,to attend,to attend,to attend,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιμελέομαι
ΑΝΤΕΠΙΜΕΤΡΕΩ,ἀντεπιμετρέω,,ἀντεπιμετρέω,measure to in return,measure to in return,measure to in return,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιμετρέω
ΑΝΤΕΠΙΝΟΕΩ,ἀντεπινοέω,,ἀντεπινοέω,devise in turn,devise in turn,devise in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπινοέω
ΑΝΤΕΠΙΠΛΕΩ,ἀντεπιπλέω,,ἀντεπιπλέω,sail against in turn,sail against in turn,sail against in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιπλέω
ΑΝΤΕΠΙΡΡΕΩ,ἀντεπιρρέω,,ἀντεπιρρέω,admit a counter-fluxion,admit a counter-fluxion,admit a counter-fluxion,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιρρέω
ΑΝΤΕΠΙΡΡΗΜΑ,ἀντεπίρρημα,,ἀντεπίρρημα,counter,counter,counter,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπίρρημα
ΑΝΤΕΠΙΣΚΩΠΤΩ,ἀντεπισκώπτω,,ἀντεπισκώπτω,mock in return,mock in return,mock in return,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπισκώπτω
ΑΝΤΕΠΙΣΠΑΩ,ἀντεπισπάω,,ἀντεπισπάω,absorb,absorb,absorb,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπισπάω
ΑΝΤΕΠΙΣΤΑΛΜΑ,ἀντεπίσταλμα,,ἀντεπίσταλμα,return furnished in reply,return furnished in reply,return furnished in reply,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπίσταλμα
ΑΝΤΕΠΙΣΤΑΛΤΙΚΟΣ,ἀντεπισταλτικός,,ἀντεπισταλτικός,of or for replying to a letter,of or for replying to a letter,of or for replying to a letter,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπισταλτικός
ΑΝΤΕΠΙΣΤΑΤΗΣ,ἀντεπιστάτης,,ἀντεπιστάτης,vice-president,vice-president,vice-president,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιστάτης
ΑΝΤΕΠΙΣΤΕΛΛΩ,ἀντεπιστέλλω,,ἀντεπιστέλλω,to write an answer,to write an answer,to write an answer,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιστέλλω
ΑΝΤΕΠΙΣΤΡΑΤΕΥΩ,ἀντεπιστρατεύω,,ἀντεπιστρατεύω,to take the field against,to take the field against,to take the field against,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιστρατεύω
ΑΝΤΕΠΙΣΤΡΕΦΩ,ἀντεπιστρέφω,,ἀντεπιστρέφω,"turnagainst, retort","turnagainst, retort","turnagainst, retort",,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιστρέφω
ΑΝΤΕΠΙΣΤΡΟΦΗ,ἀντεπιστροφή,,ἀντεπιστροφή,turning back upon,turning back upon,turning back upon,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιστροφή
ΑΝΤΕΠΙΤΑΣΣΩ,ἀντεπιτάσσω,,ἀντεπιτάσσω,to order in turn,to order in turn,to order in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιτάσσω
ΑΝΤΕΠΙΤΕΙΝΩ,ἀντεπιτείνω,,ἀντεπιτείνω,excite by contrast,excite by contrast,excite by contrast,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιτείνω
ΑΝΤΕΠΙΤΕΙΧΙΖΟΜΑΙ,ἀντεπιτειχίζομαι,,ἀντεπιτειχίζομαι,to build a fort in retaliation,to build a fort in retaliation,to build a fort in retaliation,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιτειχίζομαι
ΑΝΤΕΠΙΤΕΙΧΙΖΩ,ἀντεπιτειχίζω,,ἀντεπιτειχίζω,raise a counter-work,raise a counter-work,raise a counter-work,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιτειχίζω
ΑΝΤΕΠΙΤΙΘΗΜΙ,ἀντεπιτίθημι,,ἀντεπιτίθημι,to entrust,to entrust,to entrust,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιτίθημι
ΑΝΤΕΠΙΤΡΕΧΩ,ἀντεπιτρέχω,,ἀντεπιτρέχω,turn and attack,turn and attack,turn and attack,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιτρέχω
ΑΝΤΕΠΙΤΡΟΠΟΣ,ἀντεπίτροπος,,ἀντεπίτροπος,sub-procurator,sub-procurator,sub-procurator,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπίτροπος
ΑΝΤΕΠΙΦΕΡΩ,ἀντεπιφέρω,,ἀντεπιφέρω,"lay, inflict in turn upon","lay, inflict in turn upon","lay, inflict in turn upon",,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιφέρω
ΑΝΤΕΠΙΧΕΙΡΕΩ,ἀντεπιχειρέω,,ἀντεπιχειρέω,to attack in turn,to attack in turn,to attack in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιχειρέω
ΑΝΤΕΠΙΧΕΙΡΗΣΙΣ,ἀντεπιχείρησις,,ἀντεπιχείρησις,a counter-attack,a counter-attack,a counter-attack,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπιχείρησις
ΑΝΤΕΠΟΠΤΕΥΣΙΣ,ἀντεπόπτευσις,,ἀντεπόπτευσις,"compensatio, reputatio","compensatio, reputatio","compensatio, reputatio",,,,,,http://logeion.uchicago.edu/index.html#ἀντεπόπτευσις
ΑΝΤΕΡΑΜΑΙ,ἀντέραμαι,,ἀντέραμαι,to rival,to rival,to rival,,,,,,http://logeion.uchicago.edu/index.html#ἀντέραμαι
ΑΝΤΕΡΑΝΙΖΩ,ἀντερανίζω,,ἀντερανίζω,to contribute in turn,to contribute in turn,to contribute in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντερανίζω
ΑΝΤΕΡΑΣΤΗΣ,ἀντεραστής,,ἀντεραστής,a rival in love,a rival in love,a rival in love,,,,,,http://logeion.uchicago.edu/index.html#ἀντεραστής
ΑΝΤΕΡΑΩ,ἀντεράω,,ἀντεράω,to love in return,to love in return,to love in return,,,,,,http://logeion.uchicago.edu/index.html#ἀντεράω
ΑΝΤΕΡΓΑΖΟΜΑΙ,ἀντεργάζομαι,,ἀντεργάζομαι,retaliate,retaliate,retaliate,,,,,,http://logeion.uchicago.edu/index.html#ἀντεργάζομαι
ΑΝΤΕΡΓΟΛΑΒΕΩ,ἀντεργολαβέω,,ἀντεργολαβέω,compete with,compete with,compete with,,,,,,http://logeion.uchicago.edu/index.html#ἀντεργολαβέω
ΑΝΤΕΡΕΘΙΖΩ,ἀντερεθίζω,,ἀντερεθίζω,provoke in turn,provoke in turn,provoke in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντερεθίζω
ΑΝΤΕΡΕΙΔΩ,ἀντερείδω,,ἀντερείδω,to set firmly against,to set firmly against,to set firmly against,,,,,,http://logeion.uchicago.edu/index.html#ἀντερείδω
ΑΝΤΕΡΕΙΣΙΣ,ἀντέρεισις,,ἀντέρεισις,resistance,resistance,resistance,,,,,,http://logeion.uchicago.edu/index.html#ἀντέρεισις
ΑΝΤΕΡΕΙΣΜΑ,ἀντέρεισμα,,ἀντέρεισμα,prop,prop,prop,,,,,,http://logeion.uchicago.edu/index.html#ἀντέρεισμα
ΑΝΤΕΡΕΙΣΤΙΚΟΣ,ἀντερειστικός,,ἀντερειστικός,of or for resistance,of or for resistance,of or for resistance,,,,,,http://logeion.uchicago.edu/index.html#ἀντερειστικός
ΑΝΤΕΡΕΣΣΩ,ἀντερέσσω,,ἀντερέσσω,row against,row against,row against,,,,,,http://logeion.uchicago.edu/index.html#ἀντερέσσω
ΑΝΤΕΡΙΖΩ,ἀντερίζω,,ἀντερίζω,"strive against, contend","strive against, contend","strive against, contend",,,,,,http://logeion.uchicago.edu/index.html#ἀντερίζω
ΑΝΤΕΡΟΜΑΙ,ἀντέρομαι,,ἀντέρομαι (or ἀντείρομαι),to ask in turn,to ask in turn,to ask in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντέρομαι
ΑΝΤΕΡΥΟΜΑΙ,ἀντερύομαι,,ἀντερύομαι,"to make equal in weight with, to value equally with","to make equal in weight with, to value equally with","to make equal in weight with, to value equally with",,,,,,http://logeion.uchicago.edu/index.html#ἀντερύομαι
ΑΝΤΕΡΩ,ἀντερῶ,,ἀντερῶ ––– –––  ἀντήρασμαι ἀντηράσθην,"to speak against, gainsay","to speak against, gainsay","to speak against, gainsay",,,,,Verb,http://logeion.uchicago.edu/index.html#ἀντερῶ
ΑΝΤΕΡΩΣ,ἀντέρως,,ἀντέρως,return-love,return-love,return-love,,,,,,http://logeion.uchicago.edu/index.html#ἀντέρως
ΑΝΤΕΡΩΤΑΩ,ἀντερωτάω,,ἀντερωτάω,to question in turn,to question in turn,to question in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντερωτάω
ΑΝΤΕΤΑΓΩΝ,ἀντεταγών,,ἀντεταγών,holding aloft,holding aloft,holding aloft,,,,,,http://logeion.uchicago.edu/index.html#ἀντεταγών
ΑΝΤΕΤΑΙΩΣ,ἀντεταιῶς,,ἀντεταιῶς,enrolled in the same year.,enrolled in the same year.,enrolled in the same year.,,,,,,http://logeion.uchicago.edu/index.html#ἀντεταιῶς
ΑΝΤΕΥΔΟΚΙΜΕΩ,ἀντευδοκιμέω,,ἀντευδοκιμέω,rival in distinction,rival in distinction,rival in distinction,,,,,,http://logeion.uchicago.edu/index.html#ἀντευδοκιμέω
ΑΝΤΕΥΕΡΓΕΤΕΩ,ἀντευεργετέω,,ἀντευεργετέω,to return a kindness,to return a kindness,to return a kindness,,,,,,http://logeion.uchicago.edu/index.html#ἀντευεργετέω
ΑΝΤΕΥΕΡΓΕΤΗΜΑ,ἀντευεργέτημα,,ἀντευεργέτημα,kindness returned,kindness returned,kindness returned,,,,,,http://logeion.uchicago.edu/index.html#ἀντευεργέτημα
ΑΝΤΕΥΕΡΓΕΤΗΣ,ἀντευεργέτης,,ἀντευεργέτης,one who returns kindnesses,one who returns kindnesses,one who returns kindnesses,,,,,,http://logeion.uchicago.edu/index.html#ἀντευεργέτης
ΑΝΤΕΥΕΡΓΕΤΙΚΟΣ,ἀντευεργετικός,,ἀντευεργετικός,disposed to return kindnesses,disposed to return kindnesses,disposed to return kindnesses,,,,,,http://logeion.uchicago.edu/index.html#ἀντευεργετικός
ΑΝΤΕΥΚΡΑΤΟΣ,ἀντεύκρατος,,ἀντεύκρατος,south temperate,south temperate,south temperate,,,,,,http://logeion.uchicago.edu/index.html#ἀντεύκρατος
ΑΝΤΕΥΝΟΕΩ,ἀντευνοέω,,ἀντευνοέω,to wish well in return,to wish well in return,to wish well in return,,,,,,http://logeion.uchicago.edu/index.html#ἀντευνοέω
ΑΝΤΕΥΠΑΣΧΩ,ἀντευπάσχω,,ἀντευπάσχω,receive a good deed in turn,receive a good deed in turn,receive a good deed in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντευπάσχω
ΑΝΤΕΥΠΟΙΕΩ,ἀντευποιέω,,ἀντευποιέω,do well in return,do well in return,do well in return,,,,,,http://logeion.uchicago.edu/index.html#ἀντευποιέω
ΑΝΤΕΥΠΟΙΙΑ,ἀντευποιΐα,,ἀντευποιΐα,requital of benefits,requital of benefits,requital of benefits,,,,,,http://logeion.uchicago.edu/index.html#ἀντευποιΐα
