TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΕΧΟΜΕΝΩΣ,ἐχομένως,,ἐχομένως,next after,next after,next after,,,,,,http://logeion.uchicago.edu/index.html#ἐχομένως
ΕΧΥΡΟΣ,ἐχυρός,,ἐχυρός,"strong, secure","strong, secure","strong, secure",,,,,,http://logeion.uchicago.edu/index.html#ἐχυρός
ΕΧΥΡΟΤΗΣ,ἐχυρότης,,ἐχυρότης,strength,strength,strength,,,,,,http://logeion.uchicago.edu/index.html#ἐχυρότης
ΕΧΥΡΟΦΡΩΝ,ἐχυρόφρων,,ἐχυρόφρων,strongminded,strongminded,strongminded,,,,,,http://logeion.uchicago.edu/index.html#ἐχυρόφρων
ΕΧΥΡΟΩ,ἐχυρόω,,ἐχυρόω,"make secure, fortify","make secure, fortify","make secure, fortify",,,,,,http://logeion.uchicago.edu/index.html#ἐχυρόω
ΕΧΩ/2,ἔχω2,,ἔχω2,"[bear, carry, bring]","[bear, carry, bring]","[bear, carry, bring]",,,,,,http://logeion.uchicago.edu/index.html#ἔχω2
ΕΨΑΛΕΟΣ,ἑψαλέος,,ἑψαλέος,"boiled, fit for boiling","boiled, fit for boiling","boiled, fit for boiling",,,,,,http://logeion.uchicago.edu/index.html#ἑψαλέος
ΕΨΑΝΔΡΑ,ἑψάνδρα,,ἑψάνδρα,cooking men,cooking men,cooking men,,,,,,http://logeion.uchicago.edu/index.html#ἑψάνδρα
ΕΨΑΝΟΣ,ἑψανός,,ἑψανός,boiled,boiled,boiled,,,,,,http://logeion.uchicago.edu/index.html#ἑψανός
ΕΨΕΥΣΜΕΝΩΣ,ἐψευσμένως,,ἐψευσμένως,"falsely, wrongly","falsely, wrongly","falsely, wrongly",,,,,,http://logeion.uchicago.edu/index.html#ἐψευσμένως
ΕΨΗΜΑ,ἕψημα,,ἕψημα,anything boiled,anything boiled,anything boiled,,,,,,http://logeion.uchicago.edu/index.html#ἕψημα
ΕΨΗΜΑΤΩΔΗΣ,ἑψηματώδης,,ἑψηματώδης,like,like,like,,,,,,http://logeion.uchicago.edu/index.html#ἑψηματώδης
ΕΨΗΣΙΣ,ἕψησις,,ἕψησις,a boiling,a boiling,a boiling,,,,,,http://logeion.uchicago.edu/index.html#ἕψησις
ΕΨΗΤΕΟΝ,ἑψητέον,,ἑψητέον,one must boil,one must boil,one must boil,,,,,,http://logeion.uchicago.edu/index.html#ἑψητέον
ΕΨΗΤΗΡ,ἑψητήρ,,ἑψητήρ,a pan for boiling,a pan for boiling,a pan for boiling,,,,,,http://logeion.uchicago.edu/index.html#ἑψητήρ
ΕΨΗΤΗΣ,ἑψητής,,ἑψητής,one who smelts,one who smelts,one who smelts,,,,,,http://logeion.uchicago.edu/index.html#ἑψητής
ΕΨΗΤΙΚΟΣ,ἑψητικός,,ἑψητικός,of or for boiling,of or for boiling,of or for boiling,,,,,,http://logeion.uchicago.edu/index.html#ἑψητικός
ΕΨΗΤΟΣ,ἑψητός,,ἑψητός,boiled,boiled,boiled,,,,,,http://logeion.uchicago.edu/index.html#ἑψητός
ΕΨΙΑ,ἑψία,,ἑψία,a game played with pebbles.,a game played with pebbles.,a game played with pebbles.,,,,,,http://logeion.uchicago.edu/index.html#ἑψία
ΕΨΙΑΟΜΑΙ,ἑψιάομαι,,ἑψιάομαι,to play with pebbles,to play with pebbles,to play with pebbles,,,,,,http://logeion.uchicago.edu/index.html#ἑψιάομαι
ΕΨΙΚΟΣ,ἑψικός,,ἑψικός,for boiling,for boiling,for boiling,,,,,,http://logeion.uchicago.edu/index.html#ἑψικός
ΕΨΙΛΟΝ,ἔψιλον,,ἔψιλον,long e,long e,long e,,,,,,http://logeion.uchicago.edu/index.html#ἔψιλον
ΕΨΙΛΩΜΕΝΩΣ,ἐψιλωμένως,,ἐψιλωμένως,in an expressionless tone,in an expressionless tone,in an expressionless tone,,,,,,http://logeion.uchicago.edu/index.html#ἐψιλωμένως
ΕΨΙΜΥΘΙΣΜΕΝΩΣ,ἐψιμυθισμένως,,ἐψιμυθισμένως,with paint,with paint,with paint,,,,,,http://logeion.uchicago.edu/index.html#ἐψιμυθισμένως
ΕΨΟΠΩΛΙΣ,ἑψόπωλις,,ἑψόπωλις,popina,popina,popina,,,,,,http://logeion.uchicago.edu/index.html#ἑψόπωλις
ΕΨΩ,ἕψω,,ἕψω ἑψήσω ἥψησα ἥψηκα ἡψήθην,"to boil, seethe","to boil, seethe","to boil, seethe",,,,,,http://logeion.uchicago.edu/index.html#ἕψω
ΕΩΘΑ,,εωθα,ἔωθα,be accustomed; pf. with pres. sense,,,,,,,Verb,http://logeion.uchicago.edu/index.html#ἔωθα
ΕΩΘΕΝ,ἕωθεν,,ἕωθεν,from morn,from morn,from morn,,,,,,http://logeion.uchicago.edu/index.html#ἕωθεν
ΕΩΘΙΝΟΣ,ἑωθινός,,ἑωθινός,"in the morning, early","in the morning, early","in the morning, early",,,,,,http://logeion.uchicago.edu/index.html#ἑωθινός
ΕΩΛΙΖΩ,ἑωλίζω,,ἑωλίζω,keep till next day,keep till next day,keep till next day,,,,,,http://logeion.uchicago.edu/index.html#ἑωλίζω
ΕΩΛΙΣΜΟΣ,ἑωλισμός,,ἑωλισμός,keeping till next day,keeping till next day,keeping till next day,,,,,,http://logeion.uchicago.edu/index.html#ἑωλισμός
ΕΩΛΟΚΡΑΣΙΑ,ἑωλοκρασία,,ἑωλοκρασία,a mixture of the dregs and heel-taps,a mixture of the dregs and heel-taps,a mixture of the dregs and heel-taps,,,,,,http://logeion.uchicago.edu/index.html#ἑωλοκρασία
ΕΩΛΟΣ,ἕωλος,,ἕωλος,"a day old, kept till the morrow, stale","a day old, kept till the morrow, stale","a day old, kept till the morrow, stale",,,,,,http://logeion.uchicago.edu/index.html#ἕωλος
ΕΩΜΕΝ,ἕωμεν,,ἕωμεν,have had our fill,have had our fill,have had our fill,,,,,,http://logeion.uchicago.edu/index.html#ἕωμεν
ΕΩΜΕΝ/2,ἔωμεν,,ἔωμεν,to take one's fill,to take one's fill,to take one's fill,,,,,,http://logeion.uchicago.edu/index.html#ἔωμεν
ΕΩΝ,ἐών,,ἐών,sum,sum,sum,,,,,,http://logeion.uchicago.edu/index.html#ἐών
ΕΩΟΣ,ἕως,εως,ἕως or ἑῷος ἡ,"dawn, the East",(w. aor or as prep.) until; (w. pres) as long as,(w. aor or as prep.) until; (w. pres) as long as,3,,,,Noun,http://logeion.uchicago.edu/index.html#ἕως
ΕΩΡΑ,ἐώρα,,ἐώρα,a halter,a halter,a halter,,,,,,http://logeion.uchicago.edu/index.html#ἐώρα
ΕΩΣΠΕΡ,ἕωσπερ,,ἕωσπερ,even until,even until,even until,,,,,,http://logeion.uchicago.edu/index.html#ἕωσπερ
ΕΩΣΦΟΡΟΣ,Ἑωσφόρος,,Ἑωσφόρος,bringer of morn,bringer of morn,bringer of morn,,,,,,http://logeion.uchicago.edu/index.html#Ἑωσφόρος
ΕΩΣΦΟΡΟΣ/2,ἑωσφόρος,,ἑωσφόρος,bringer of morn,bringer of morn,bringer of morn,,,,,,http://logeion.uchicago.edu/index.html#ἑωσφόρος
ϜΙΚΑΤΙ,ϝίκατι,,ϝίκατι,twenty feet broad,twenty feet broad,twenty feet broad,,,,,,http://logeion.uchicago.edu/index.html#ϝίκατι
ϜΙΛΣΙΣ,ϝίλσις,,ϝίλσις,distress,distress,distress,,,,,,http://logeion.uchicago.edu/index.html#ϝίλσις
ϜΟΙΚΩ,ϝοίκω,,ϝοίκω,at one's own expense,at one's own expense,at one's own expense,,,,,,http://logeion.uchicago.edu/index.html#ϝοίκω
ϜΡΗΤΑ,ϝρήτα,,ϝρήτα,"treaty, agreement","treaty, agreement","treaty, agreement",,,,,,http://logeion.uchicago.edu/index.html#ϝρήτα
ϜΡΗΤΑΟΜΑΙ,ϝρητάομαι,,ϝρητάομαι,make a treaty,make a treaty,make a treaty,,,,,,http://logeion.uchicago.edu/index.html#ϝρητάομαι
ΖΑΓΚΛΟΝ,ζάγκλον,,ζάγκλον,a reaping-hook,a reaping-hook,a reaping-hook,,,,,,http://logeion.uchicago.edu/index.html#ζάγκλον
ΖΑΓΡΗ,ζάγρη,,ζάγρη,barefoot,barefoot,barefoot,,,,,,http://logeion.uchicago.edu/index.html#ζάγρη
ΖΑΔΗΛΟΣ,ζάδηλος,,ζάδηλος,with holes in it,with holes in it,with holes in it,,,,,,http://logeion.uchicago.edu/index.html#ζάδηλος
ΖΑΕΛΕΞΑΜΑΝ,ζαελεξάμαν,,ζαελεξάμαν,discoursed with,discoursed with,discoursed with,,,,,,http://logeion.uchicago.edu/index.html#ζαελεξάμαν
ΖΑΗΣ,ζαής,,ζαής,"strong-blowing, stormy","strong-blowing, stormy","strong-blowing, stormy",,,,,,http://logeion.uchicago.edu/index.html#ζαής
ΖΑΘΕΟΣ,ζάθεος,,ζάθεος,"very divine, sacred","very divine, sacred","very divine, sacred",,,,,,http://logeion.uchicago.edu/index.html#ζάθεος
ΖΑΘΕΡΗΣ,ζαθερής,,ζαθερής,"very hot, scorching","very hot, scorching","very hot, scorching",,,,,,http://logeion.uchicago.edu/index.html#ζαθερής
ΖΑΚΑΛΛΗΣ,ζακαλλής,,ζακαλλής,very beautiful,very beautiful,very beautiful,,,,,,http://logeion.uchicago.edu/index.html#ζακαλλής
ΖΑΚΟΡΕΥΩ,ζακορεύω,,ζακορεύω,to be a ζάκορος,to be a ζάκορος,to be a ζάκορος,,,,,,http://logeion.uchicago.edu/index.html#ζακορεύω
ΖΑΚΟΡΟΣ,ζάκορος,,ζάκορος,a temple-servant,a temple-servant,a temple-servant,,,,,,http://logeion.uchicago.edu/index.html#ζάκορος
ΖΑΚΟΤΟΣ,ζάκοτος,,ζάκοτος,exceeding wroth,exceeding wroth,exceeding wroth,,,,,,http://logeion.uchicago.edu/index.html#ζάκοτος
ΖΑΚΡΥΟΕΙΣ,ζακρυόεις,,ζακρυόεις,"very numbing, freezing","very numbing, freezing","very numbing, freezing",,,,,,http://logeion.uchicago.edu/index.html#ζακρυόεις
ΖΑΚΥΝΘΙΔΕΣ,ζακυνθίδες,,ζακυνθίδες,from Zacynthus,from Zacynthus,from Zacynthus,,,,,,http://logeion.uchicago.edu/index.html#ζακυνθίδες
ΖΑΚΥΝΘΙΟΣ,Ζακύνθιος,,Ζακύνθιος,"Zacynthian, of Zacynthos","Zacynthian, of Zacynthos","Zacynthian, of Zacynthos",,,,,,http://logeion.uchicago.edu/index.html#Ζακύνθιος
ΖΑΚΥΝΘΟΣ,Ζάκυνθος,,Ζάκυνθος,Zacynthus,Zacynthus,Zacynthus,,,,,,http://logeion.uchicago.edu/index.html#Ζάκυνθος
ΖΑΛΑ,ζάλα,,ζάλα,storm,storm,storm,,,,,,http://logeion.uchicago.edu/index.html#ζάλα
ΖΑΛΑΩ,ζαλάω,,ζαλάω,driving,driving,driving,,,,,,http://logeion.uchicago.edu/index.html#ζαλάω
ΖΑΛΕΥΚΟΣ,ζάλευκος,,ζάλευκος,very white,very white,very white,,,,,,http://logeion.uchicago.edu/index.html#ζάλευκος
ΖΑΛΜΟΣ,ζαλμός,,ζαλμός,skin,skin,skin,,,,,,http://logeion.uchicago.edu/index.html#ζαλμός
ΖΑΛΟΣ,ζάλος,,ζάλος,mud,mud,mud,,,,,,http://logeion.uchicago.edu/index.html#ζάλος
ΖΑΛΩΤΟΣ,ζαλωτός,,ζαλωτός,envied,envied,envied,,,,,,http://logeion.uchicago.edu/index.html#ζαλωτός
ΖΑΜΕΝΕΩ,ζαμενέω,,ζαμενέω,to put forth all one's might,to put forth all one's might,to put forth all one's might,,,,,,http://logeion.uchicago.edu/index.html#ζαμενέω
ΖΑΜΕΝΖΕ,ζάμενζε,,ζάμενζε,motion towards,motion towards,motion towards,,,,,,http://logeion.uchicago.edu/index.html#ζάμενζε
ΖΑΜΕΝΗΣ,ζαμενής,,ζαμενής –ές,"very strong, mighty, raging","very strong, mighty, raging","very strong, mighty, raging",3,,,0,Adjective,http://logeion.uchicago.edu/index.html#ζαμενής
ΖΑΜΗΤΑΙ,ζαμῆται,,ζαμῆται,stone,stone,stone,,,,,,http://logeion.uchicago.edu/index.html#ζαμῆται
ΖΑΠΙΜΕΛΟΣ,ζαπίμελος,,ζαπίμελος,very fat,very fat,very fat,,,,,,http://logeion.uchicago.edu/index.html#ζαπίμελος
ΖΑΠΛΗΘΗΣ,ζαπληθής,,ζαπληθής,very full,very full,very full,,,,,,http://logeion.uchicago.edu/index.html#ζαπληθής
ΖΑΠΛΟΥΤΟΣ,ζάπλουτος,,ζάπλουτος –ον,very rich,very rich,very rich,,,,,,http://logeion.uchicago.edu/index.html#ζάπλουτος
ΖΑΠΟΤΗΣ,ζαπότης,,ζαπότης,toper,toper,toper,,,,,,http://logeion.uchicago.edu/index.html#ζαπότης
ΖΑΤΡΕΦΗΣ,ζατρεφής,,ζατρεφής,"well-fed, fat, goodly","well-fed, fat, goodly","well-fed, fat, goodly",,,,,,http://logeion.uchicago.edu/index.html#ζατρεφής
ΖΑΤΡΙΚΙΟΝ,ζατρίκιον,,ζατρίκιον,the game of chess,the game of chess,the game of chess,,,,,,http://logeion.uchicago.edu/index.html#ζατρίκιον
ΖΑΥΚΙΤΡΟΦΟΣ,ζαυκίτροφος,,ζαυκίτροφος,tenderly reared,tenderly reared,tenderly reared,,,,,,http://logeion.uchicago.edu/index.html#ζαυκίτροφος
ΖΑΦΛΕΓΗΣ,ζαφλεγής,,ζαφλεγής,full of fire,full of fire,full of fire,,,,,,http://logeion.uchicago.edu/index.html#ζαφλεγής
ΖΑΦΟΡΟΣ,ζαφόρος,,ζαφόρος,to be fertile,to be fertile,to be fertile,,,,,,http://logeion.uchicago.edu/index.html#ζαφόρος
ΖΑΧΡΕΙΗΣ,ζαχρειής,,ζαχρειής,violently,violently,violently,,,,,,http://logeion.uchicago.edu/index.html#ζαχρειής
ΖΑΧΡΕΙΟΣ,ζαχρεῖος,,ζαχρεῖος,wanting much,wanting much,wanting much,,,,,,http://logeion.uchicago.edu/index.html#ζαχρεῖος
ΖΑΧΡΗΗΣ,ζαχρηής,,ζαχρηής,"attacking violently, furious, raging","attacking violently, furious, raging","attacking violently, furious, raging",,,,,,http://logeion.uchicago.edu/index.html#ζαχρηής
ΖΑΧΡΥΣΟΣ,ζάχρυσος,,ζάχρυσος,rich in gold,rich in gold,rich in gold,,,,,,http://logeion.uchicago.edu/index.html#ζάχρυσος
ΖΑΨ,ζάψ,,ζάψ,surf,surf,surf,,,,,,http://logeion.uchicago.edu/index.html#ζάψ
ΖΕ,ζε,,ζε,motion towards,motion towards,motion towards,,,,,,http://logeion.uchicago.edu/index.html#ζε
ΖΕΑ,ζέα,,ζέα,the roof of a horse's mouth,the roof of a horse's mouth,the roof of a horse's mouth,,,,,,http://logeion.uchicago.edu/index.html#ζέα
ΖΕΓΕΡΙΕΣ,ζεγέριες,,ζεγέριες,mouse,mouse,mouse,,,,,,http://logeion.uchicago.edu/index.html#ζεγέριες
ΖΕΙΑ,ζειά,,ζειά,"grain, spelt, a coarse wheat","grain, spelt, a coarse wheat","grain, spelt, a coarse wheat",,,,,,http://logeion.uchicago.edu/index.html#ζειά
ΖΕΙΑΙ,ζειαί,,ζειαί,spelt,spelt,spelt,,,,,,http://logeion.uchicago.edu/index.html#ζειαί
ΖΕΙΔΩΡΟΣ,ζείδωρος,,ζείδωρος,zea-giving,zea-giving,zea-giving,,,,,,http://logeion.uchicago.edu/index.html#ζείδωρος
ΖΕΙΡΑ,ζειρά,,ζειρά,a wide upper garment,a wide upper garment,a wide upper garment,,,,,,http://logeion.uchicago.edu/index.html#ζειρά
ΖΕΙΡΑΤΕΙΣ,ζειρατείς,,ζειρατείς,grape,grape,grape,,,,,,http://logeion.uchicago.edu/index.html#ζειρατείς
ΖΕΙΡΟΦΟΡΟΣ,ζειροφόρος,,ζειροφόρος,wearing a ζειρά,wearing a ζειρά,wearing a ζειρά,,,,,,http://logeion.uchicago.edu/index.html#ζειροφόρος
ΖΕΚΑΜΝΑΙΑ,ζεκαμναία,,ζεκαμναία,sum of ten minae,sum of ten minae,sum of ten minae,,,,,,http://logeion.uchicago.edu/index.html#ζεκαμναία
ΖΕΛΕΙΑ,Ζέλεια,,Ζέλεια,Zelea,Zelea,Zelea,,,,,,http://logeion.uchicago.edu/index.html#Ζέλεια
ΖΕΛΕΙΤΗΣ,Ζελείτης,,Ζελείτης,inhabitant of Zelea,inhabitant of Zelea,inhabitant of Zelea,,,,,,http://logeion.uchicago.edu/index.html#Ζελείτης
ΖΕΜΑ,ζέμα,,ζέμα,fermentation,fermentation,fermentation,,,,,,http://logeion.uchicago.edu/index.html#ζέμα
ΖΕΟΠΟΙΙΟΝ,ζεοποίιον,,ζεοποίιον,mill for grinding,mill for grinding,mill for grinding,,,,,,http://logeion.uchicago.edu/index.html#ζεοποίιον
ΖΕΟΠΥΡΟΝ,ζεόπυρον,,ζεόπυρον,Triticum monococcum,Triticum monococcum,Triticum monococcum,,,,,,http://logeion.uchicago.edu/index.html#ζεόπυρον
ΖΕΣΕΛΑΙΟΠΑΓΗΣ,ζεσελαιοπαγής,,ζεσελαιοπαγής,cooked in boiling oil,cooked in boiling oil,cooked in boiling oil,,,,,,http://logeion.uchicago.edu/index.html#ζεσελαιοπαγής
ΖΕΣΙΣ,ζέσις,,ζέσις,"seething, effervescence, boiling","seething, effervescence, boiling","seething, effervescence, boiling",,,,,,http://logeion.uchicago.edu/index.html#ζέσις
ΖΕΣΤΑΚΡΑΤΑ,ζεστάκρατα,,ζεστάκρατα,hot wine,hot wine,hot wine,,,,,,http://logeion.uchicago.edu/index.html#ζεστάκρατα
ΖΕΣΤΟΛΟΥΣΙΑ,ζεστολουσία,,ζεστολουσία,washing in hot water,washing in hot water,washing in hot water,,,,,,http://logeion.uchicago.edu/index.html#ζεστολουσία
ΖΕΣΤΟΣ,ζεστός,,ζεστός,"seethed, boiled","seethed, boiled","seethed, boiled",,,,,,http://logeion.uchicago.edu/index.html#ζεστός
ΖΕΣΤΟΤΗΣ,ζεστότης,,ζεστότης,heat,heat,heat,,,,,,http://logeion.uchicago.edu/index.html#ζεστότης
ΖΕΥ,ζευ,,ζευ,"fastening together, joining","fastening together, joining","fastening together, joining",,,,,,http://logeion.uchicago.edu/index.html#ζευ
ΖΕΥΓΑΡΙΟΝ,ζευγάριον,,ζευγάριον,a puny team,a puny team,a puny team,,,,,,http://logeion.uchicago.edu/index.html#ζευγάριον
ΖΕΥΓΗΛΑΣΙΑ,ζευγηλασία,,ζευγηλασία,the driving a yoke of oxen,the driving a yoke of oxen,the driving a yoke of oxen,,,,,,http://logeion.uchicago.edu/index.html#ζευγηλασία
