TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΓΕΝΕΘΛΙΑΛΟΓΟΣ,γενεθλιάλογος,,γενεθλιάλογος,caster of nativities,caster of nativities,caster of nativities,,,,,,http://logeion.uchicago.edu/index.html#γενεθλιάλογος
ΓΕΝΕΘΛΙΟΣ,γενέθλιος,,γενέθλιος,"of or belonging to one’s birth, family","of or belonging to one’s birth, family","of or belonging to one’s birth, family",,,,,,http://logeion.uchicago.edu/index.html#γενέθλιος
ΓΕΝΕΘΛΟΝ,γένεθλον,,γένεθλον –ου τό,"race, descent","race, descent","race, descent",2,,,0,Noun,http://logeion.uchicago.edu/index.html#γένεθλον
ΓΕΝΕΙΑΣ,γενειάς,,γενειάς,a beard,a beard,a beard,,,,,,http://logeion.uchicago.edu/index.html#γενειάς
ΓΕΝΕΙΑΣΙΣ,γενείασις,,γενείασις,growth of the beard,growth of the beard,growth of the beard,,,,,,http://logeion.uchicago.edu/index.html#γενείασις
ΓΕΝΕΙΑΣΚΩ,γενειάσκω,,γενειάσκω,to begin to get a beard,to begin to get a beard,to begin to get a beard,,,,,,http://logeion.uchicago.edu/index.html#γενειάσκω
ΓΕΝΕΙΑΣΤΗΡ,γενειαστήρ,,γενειαστήρ,chin-strap,chin-strap,chin-strap,,,,,,http://logeion.uchicago.edu/index.html#γενειαστήρ
ΓΕΝΕΙΑΤΗΣ,γενειάτης,,γενειάτης,bearded,bearded,bearded,,,,,,http://logeion.uchicago.edu/index.html#γενειάτης
ΓΕΝΕΙΑΩ,γενειάω,,γενειάω,"to grow a beard, get a beard","to grow a beard, get a beard","to grow a beard, get a beard",,,,,,http://logeion.uchicago.edu/index.html#γενειάω
ΓΕΝΕΙΟΝ,γένειον,,γένειον –ου τό,"the part covered by the beard, the chin","the part covered by the beard, the chin","the part covered by the beard, the chin",2,,,0,Noun,http://logeion.uchicago.edu/index.html#γένειον
ΓΕΝΕΙΟΣΥΛΛΕΚΤΑΔΑΙ,γενειοσυλλεκτάδαι,,γενειοσυλλεκτάδαι,beard-gatherers,beard-gatherers,beard-gatherers,,,,,,http://logeion.uchicago.edu/index.html#γενειοσυλλεκτάδαι
ΓΕΝΕΣΙΑΡΧΗΣ,γενεσιάρχης,,γενεσιάρχης,creator,creator,creator,,,,,,http://logeion.uchicago.edu/index.html#γενεσιάρχης
ΓΕΝΕΣΙΟΣ,γενέσιος,,γενέσιος,a day kept in memory of the dead,a day kept in memory of the dead,a day kept in memory of the dead,,,,,,http://logeion.uchicago.edu/index.html#γενέσιος
ΓΕΝΕΣΙΟΥΡΓΕΩ,γενεσιουργέω,,γενεσιουργέω,bring into being,bring into being,bring into being,,,,,,http://logeion.uchicago.edu/index.html#γενεσιουργέω
ΓΕΝΕΣΙΟΥΡΓΙΑ,γενεσιουργία,,γενεσιουργία,generation,generation,generation,,,,,,http://logeion.uchicago.edu/index.html#γενεσιουργία
ΓΕΝΕΣΙΟΥΡΓΟΣ,γενεσιουργός,,γενεσιουργός,concerned with,concerned with,concerned with,,,,,,http://logeion.uchicago.edu/index.html#γενεσιουργός
ΓΕΝΕΣΙΣ,γένεσις,γενεσις,γένεσις γενέσεως ἡ,"origin, descent, generation","an origin, source, productive cause","an origin, source, productive cause",3,,,,Noun,http://logeion.uchicago.edu/index.html#γένεσις
ΓΕΝΕΤΕΙΡΑ,γενέτειρα,,γενέτειρα,mother,mother,mother,,,,,,http://logeion.uchicago.edu/index.html#γενέτειρα
ΓΕΝΕΤΗ,γενετή,,γενετή,the hour of birth,the hour of birth,the hour of birth,,,,,,http://logeion.uchicago.edu/index.html#γενετή
ΓΕΝΕΤΗΡ,γενετήρ,,γενετήρ,parents,parents,parents,,,,,,http://logeion.uchicago.edu/index.html#γενετήρ
ΓΕΝΕΤΗΣ,γενέτης,,γενέτης –ου ὁ,"the begetter, father, ancestor","the begetter, father, ancestor","the begetter, father, ancestor",1,,,0,Noun,http://logeion.uchicago.edu/index.html#γενέτης
ΓΕΝΕΤΗΣΙΟΣ,γενετήσιος,,γενετήσιος,sexual,sexual,sexual,,,,,,http://logeion.uchicago.edu/index.html#γενετήσιος
ΓΕΝΕΤΙΚΟΣ,γενετικός,,γενετικός,genitive case,genitive case,genitive case,,,,,,http://logeion.uchicago.edu/index.html#γενετικός
ΓΕΝΕΤΥΛΛΙΣ,Γενετυλλίς,,Γενετυλλίς,goddess of one's birth-hour,goddess of one's birth-hour,goddess of one's birth-hour,,,,,,http://logeion.uchicago.edu/index.html#Γενετυλλίς
ΓΕΝΗΙΣ,γενηΐς,,γενηΐς –ίδος ἡ,"a pickaxe, mattock","a pickaxe, mattock","a pickaxe, mattock",,,,,Noun,http://logeion.uchicago.edu/index.html#γενηΐς
ΓΕΝΗΜΑ,γένημα,,γένημα,produce,produce,produce,,,,,,http://logeion.uchicago.edu/index.html#γένημα
ΓΕΝΗΜΑΤΟΓΡΑΦΕΩ,γενηματογραφέω,,γενηματογραφέω,sequester produce of land,sequester produce of land,sequester produce of land,,,,,,http://logeion.uchicago.edu/index.html#γενηματογραφέω
ΓΕΝΗΜΑΤΟΓΡΑΦΙΑ,γενηματογραφία,,γενηματογραφία,sequestration,sequestration,sequestration,,,,,,http://logeion.uchicago.edu/index.html#γενηματογραφία
ΓΕΝΗΜΑΤΟΦΥΛΑΞ,γενηματοφύλαξ,,γενηματοφύλαξ,custodian of crops,custodian of crops,custodian of crops,,,,,,http://logeion.uchicago.edu/index.html#γενηματοφύλαξ
ΓΕΝΗΤΟΣ,γενητός,,γενητός,originated,originated,originated,,,,,,http://logeion.uchicago.edu/index.html#γενητός
ΓΕΝΙΚΟΣ,γενικός,,γενικός,belonging to or connected with the γένος,belonging to or connected with the γένος,belonging to or connected with the γένος,,,,,,http://logeion.uchicago.edu/index.html#γενικός
ΓΕΝΙΣΜΟΣ,γενισμός,,γενισμός,arrangement according to,arrangement according to,arrangement according to,,,,,,http://logeion.uchicago.edu/index.html#γενισμός
ΓΕΝΝΑΔΑΣ,γεννάδας,,γεννάδας,noble,noble,noble,,,,,,http://logeion.uchicago.edu/index.html#γεννάδας
ΓΕΝΝΑΙΑΖΩ,γενναιάζω,,γενναιάζω,to be brave,to be brave,to be brave,,,,,,http://logeion.uchicago.edu/index.html#γενναιάζω
ΓΕΝΝΑΙΟΠΡΕΠΗΣ,γενναιοπρεπής,,γενναιοπρεπής,befitting a noble,befitting a noble,befitting a noble,,,,,,http://logeion.uchicago.edu/index.html#γενναιοπρεπής
ΓΕΝΝΑΙΟΣ,γενναῖος,γενναιος,γενναῖος –α –ον,high-born; noble,"noble, excellent","noble, excellent",1,,,0,Adjective,http://logeion.uchicago.edu/index.html#γενναῖος
ΓΕΝΝΑΙΟΤΗΣ,γενναιότης,,γενναιότης,"nobleness of character, nobility","nobleness of character, nobility","nobleness of character, nobility",,,,,,http://logeion.uchicago.edu/index.html#γενναιότης
ΓΕΝΝΑΙΣ,Γενναΐς,,Γενναΐς,"Gennais, goddesses at Phocaea","Gennais, goddesses at Phocaea","Gennais, goddesses at Phocaea",,,,,,http://logeion.uchicago.edu/index.html#Γενναΐς
ΓΕΝΝΑΩ,γεννάω,γενναω,γεννάω γεννήσω ἐγέννησα γεγέννηκα γεγέννημαι ἐγεννήθην,"beget, engender","to beget, engender","to beget, engender",0,,,0,Verb,http://logeion.uchicago.edu/index.html#γεννάω
ΓΕΝΝΗΕΙΣ,γεννήεις,,γεννήεις,generative,generative,generative,,,,,,http://logeion.uchicago.edu/index.html#γεννήεις
ΓΕΝΝΗΜΑΤΙΖΩ,γεννηματίζω,,γεννηματίζω,produce offspring,produce offspring,produce offspring,,,,,,http://logeion.uchicago.edu/index.html#γεννηματίζω
ΓΕΝΝΗΣΙΣ,γέννησις,,γέννησις,"an engendering, producing","an engendering, producing","an engendering, producing",,,,,,http://logeion.uchicago.edu/index.html#γέννησις
ΓΕΝΝΗΤΕΟΝ,γεννητέον,,γεννητέον,"one must produce, grow","one must produce, grow","one must produce, grow",,,,,,http://logeion.uchicago.edu/index.html#γεννητέον
ΓΕΝΝΗΤΗΣ,γεννητής,,γεννητής –οῦ ὁ,a parent,a parent,a parent,1,,,0,Noun,http://logeion.uchicago.edu/index.html#γεννητής
ΓΕΝΝΗΤΙΚΟΣ,γεννητικός,,γεννητικός,"generative, productive","generative, productive","generative, productive",,,,,,http://logeion.uchicago.edu/index.html#γεννητικός
ΓΕΝΝΗΤΟΣ,γεννητός,,γεννητός,begotten,begotten,begotten,,,,,,http://logeion.uchicago.edu/index.html#γεννητός
ΓΕΝΝΗΤΩΡ,γεννήτωρ,,γεννήτωρ,"begetter, father, ancestor","begetter, father, ancestor","begetter, father, ancestor",,,,,,http://logeion.uchicago.edu/index.html#γεννήτωρ
ΓΕΝΝΙΚΟΣ,γεννικός,,γεννικός,noble,noble,noble,,,,,,http://logeion.uchicago.edu/index.html#γεννικός
ΓΕΝΝΟΔΟΤΕΙΡΑ,γεννοδότειρα,,γεννοδότειρα,the giver of heirs,the giver of heirs,the giver of heirs,,,,,,http://logeion.uchicago.edu/index.html#γεννοδότειρα
ΓΕΝΤΙΑΝΗ,γεντιανή,,γεντιανή,gentian,gentian,gentian,,,,,,http://logeion.uchicago.edu/index.html#γεντιανή
ΓΕΝΤΟ,γέντο,,γέντο,he grasped,he grasped,he grasped,,,,,,http://logeion.uchicago.edu/index.html#γέντο
ΓΕΝΥΣ,γένυς,,γένυς –υος ἡ,"the jaw, side of the face, cheek; axe","the jaw, side of the face, cheek; axe","the jaw, side of the face, cheek; axe",,,,,Noun,http://logeion.uchicago.edu/index.html#γένυς
ΓΕΟΘΑΛΠΗΣ,γεοθαλπής,,γεοθαλπής,earth-cherishing,earth-cherishing,earth-cherishing,,,,,,http://logeion.uchicago.edu/index.html#γεοθαλπής
ΓΕΟΟΜΑΙ,γεόομαι,,γεόομαι,to become earth,to become earth,to become earth,,,,,,http://logeion.uchicago.edu/index.html#γεόομαι
ΓΕΟΥΧΟΣ,γεοῦχος,,γεοῦχος,landowner,landowner,landowner,,,,,,http://logeion.uchicago.edu/index.html#γεοῦχος
ΓΕΡΑΔΟΣ,γέραδος,,γέραδος,honour,honour,honour,,,,,,http://logeion.uchicago.edu/index.html#γέραδος
ΓΕΡΑΙΟΣ,γεραιός,γεραιος,γεραιός –ά –όν,old,old,old,1,,,0,Adjective,http://logeion.uchicago.edu/index.html#γεραιός
ΓΕΡΑΙΟΤΗΣ,γεραιότης,,γεραιότης,advanced age,advanced age,advanced age,,,,,,http://logeion.uchicago.edu/index.html#γεραιότης
ΓΕΡΑΙΟΦΛΟΙΟΣ,γεραιόφλοιος,,γεραιόφλοιος,"with old, wrinkled skin","with old, wrinkled skin","with old, wrinkled skin",,,,,,http://logeion.uchicago.edu/index.html#γεραιόφλοιος
